metric,train,validation
total_lesions,305024,38131
total_patients,784,94
positive_lesions,812,101
negative_lesions,304212,38030
patients_with_positive_lesion,497,68
lesion_prevalence,0.002662085606,0.002648763473
patient_prevalence,0.6339285714,0.7234042553
pr_auc,0.07004568522,0.05366397862
roc_auc,0.8405558475,0.7983115206
brier_score,0.002627594977,0.002619236749
selected_threshold,0.001120975707,0.001120975707
tp,774,96
tn,99888,10069
fp,204324,27961
fn,38,5
sensitivity,0.9532019704,0.9504950495
specificity,0.3283499665,0.2647646595
fnr,0.04679802956,0.0495049505
fpr,0.6716500335,0.7352353405
ppv,0.003773805693,0.003421606016
npv,0.9996197186,0.9995036728
f1_score,0.007517847603,0.006818666098
f2_score,0.01857487065,0.01686518394
balanced_accuracy,0.6407759685,0.6076298545
mcc,0.0309104082,0.02509371776
accuracy,0.330013376,0.2665809971
predicted_positive_count,205098,28057
predicted_positive_rate,0.6723995489,0.7358055126
tp_per_1000_lesions,2.537505245,2.517636569
fp_per_1000_lesions,669.8620436,733.287876
fn_per_1000_lesions,0.1245803609,0.1311269046
