stage,stage_epoch,total_epoch,train_loss,pr_auc,roc_auc,brier_score
warmup,1,1,1.1555930920247512,0.02914720525978174,0.8216991742212392,0.12979093194007874
warmup,2,2,1.015976857142452,0.02788951807021575,0.837822282234808,0.15623295307159424
fine_tune,1,3,1.147490821629897,0.032135915753733514,0.8902532258211059,0.19490864872932434
fine_tune,2,4,0.8304036053641195,0.04838756426364438,0.8840827777592324,0.15825802087783813
fine_tune,3,5,0.7929641937664342,0.09134190401711147,0.9145707774709432,0.13650794327259064
fine_tune,4,6,0.7394299477595265,0.05867688394419067,0.9082014671096763,0.09723947942256927
fine_tune,5,7,0.7090360568562606,0.08649456090444108,0.9005844693648442,0.13802777230739594
fine_tune,6,8,0.5749819493764698,0.04570435018748543,0.9100615646236627,0.11107224971055984
