stage,stage_epoch,total_epoch,train_loss
warmup,1,1,0.8528966499462669
warmup,2,2,0.785234679129209
fine_tune,1,3,0.7608364210469802
fine_tune,2,4,0.717263235557829
fine_tune,3,5,0.6880212976665003
fine_tune,4,6,0.6504553692408467
fine_tune,5,7,0.6224041286805408
fine_tune,6,8,0.6000295997988869
fine_tune,7,9,0.5865186414648073
