stage,stage_epoch,total_epoch,train_loss,pr_auc,roc_auc,brier_score
warmup,1,1,0.869780771170265,0.6054524783615125,0.7185521830871612,0.22267617285251617
warmup,2,2,0.7928193845256635,0.6001098623963619,0.7255315695503977,0.22191375494003296
fine_tune,1,3,0.7762121249604482,0.6651871382198136,0.7487420873234865,0.20746631920337677
fine_tune,2,4,0.7126405597284138,0.6848805773840472,0.7521506248985554,0.20546410977840424
fine_tune,3,5,0.6929754561562383,0.6955539405678464,0.7583184547962993,0.20605869591236115
fine_tune,4,6,0.6615067257535844,0.6902132036775289,0.7571822756046097,0.2075819969177246
fine_tune,5,7,0.6435739391573773,0.7012124392283703,0.7607531244927772,0.19447800517082214
fine_tune,6,8,0.6346764973205484,0.6904343214458247,0.7615646810582697,0.19968077540397644
fine_tune,7,9,0.6072470503521994,0.7043363830305676,0.7651355299464372,0.1912621110677719
fine_tune,8,10,0.5992186315621727,0.6962044677953017,0.7623762376237623,0.19568519294261932
fine_tune,9,11,0.5698100296301173,0.6919729340654293,0.7594546339879888,0.2041662037372589
fine_tune,10,12,0.548119348122269,0.699677067516639,0.762213926310664,0.20225219428539276
