stage,stage_epoch,total_epoch,train_loss,pr_auc,roc_auc,brier_score
warmup,1,1,0.8658076806685591,0.5142333461636606,0.6586593085538062,0.23811811208724976
warmup,2,2,0.8112461249156064,0.5396017003779103,0.6997240707677324,0.2327212393283844
fine_tune,1,3,0.8419515857894909,0.6102278260964895,0.7607531244927772,0.22056631743907928
fine_tune,2,4,0.8039091317605899,0.6179072010919939,0.7588053887355949,0.21799011528491974
fine_tune,3,5,0.7775615522600653,0.6279268755599375,0.7576692095439053,0.21379080414772034
fine_tune,4,6,0.7418220310438947,0.6769619278436889,0.7727641616620678,0.20918001234531403
fine_tune,5,7,0.7126731229673365,0.66963123481633,0.7748742087323486,0.20104099810123444
fine_tune,6,8,0.6924791181767116,0.6828088844080026,0.7758480766109398,0.19942989945411682
fine_tune,7,9,0.6576821229123555,0.687600414723147,0.7756857652978414,0.1930055320262909
fine_tune,8,10,0.6203920748457886,0.6942996998435687,0.7747118974192501,0.1908891350030899
fine_tune,9,11,0.6095548791033094,0.7018542419282874,0.7768219444895309,0.18623164296150208
fine_tune,10,12,0.5815651358918894,0.7014853458539674,0.7755234539847427,0.18648426234722137
fine_tune,11,13,0.5583748921683096,0.7040326595828459,0.774387274793053,0.188382089138031
fine_tune,12,14,0.535972547411735,0.7062116528662876,0.7750365200454472,0.18837931752204895
