metric,train,validation
total_lesions,811,101
total_patients,504,64
positive_lesions,304,38
negative_lesions,507,63
patients_with_positive_lesion,201,22
lesion_prevalence,0.3748458693,0.3762376238
patient_prevalence,0.3988095238,0.34375
pr_auc,0.9370415335,0.6041159758
roc_auc,0.9570941036,0.7568922306
brier_score,0.0926083573,0.2214171897
selected_threshold,0.02942701802,0.02942701802
tp,304,37
tn,130,13
fp,377,50
fn,0,1
sensitivity,1,0.9736842105
specificity,0.2564102564,0.2063492063
fnr,0,0.02631578947
fpr,0.7435897436,0.7936507937
ppv,0.4464023495,0.4252873563
npv,1,0.9285714286
f1_score,0.6172588832,0.592
f2_score,0.8012651555,0.7740585774
balanced_accuracy,0.6282051282,0.5900167084
mcc,0.3383225397,0.25240128
accuracy,0.5351418002,0.495049505
predicted_positive_count,681,87
predicted_positive_rate,0.8397040691,0.8613861386
tp_per_1000_lesions,374.8458693,366.3366337
fp_per_1000_lesions,464.8581998,495.049505
fn_per_1000_lesions,0,9.900990099
