stage,stage_epoch,total_epoch,train_loss,pr_auc,roc_auc,brier_score
warmup,1,1,0.8444882496295982,0.6089752620654261,0.7023210517773089,0.21836866438388824
warmup,2,2,0.7831616263911243,0.6373538789779399,0.710111994806038,0.20663407444953918
fine_tune,1,3,0.7840713628084156,0.644990750067508,0.7391657198506737,0.20049822330474854
fine_tune,2,4,0.7341455385571084,0.6570014325288283,0.7441973705567279,0.2004312127828598
fine_tune,3,5,0.7181394512554162,0.6644549711670867,0.7505275117675703,0.19905872642993927
fine_tune,4,6,0.6908280379232162,0.6770927377333631,0.7545852945950332,0.19617560505867004
fine_tune,5,7,0.6708602038296786,0.6754629160627192,0.7579938321701022,0.19675111770629883
fine_tune,6,8,0.654348129116699,0.6800307623079299,0.7604285018665801,0.19624315202236176
fine_tune,7,9,0.641361532069869,0.6787834058889133,0.7643239733809446,0.19106356799602509
fine_tune,8,10,0.6238501806655907,0.6979409792875979,0.7696802467131958,0.19330312311649323
fine_tune,9,11,0.5963608267127274,0.696930541580791,0.7661093978250284,0.19251610338687897
fine_tune,10,12,0.5796039074613427,0.6831490031918558,0.7659470865119298,0.19587036967277527
fine_tune,11,13,0.5704227801188482,0.6903026100465048,0.7735757182275604,0.18990904092788696
