metric,train,validation
total_lesions,305024,38131
total_patients,784,94
positive_lesions,812,101
negative_lesions,304212,38030
patients_with_positive_lesion,497,68
lesion_prevalence,0.002662085606,0.002648763473
patient_prevalence,0.6339285714,0.7234042553
pr_auc,0.2060379011,0.05503996131
roc_auc,0.9844225822,0.8893000055
brier_score,0.01057801489,0.01071600552
selected_threshold,0.02128916979,0.02128916979
tp,812,96
tn,156494,21582
fp,147718,16448
fn,0,5
sensitivity,1,0.9504950495
specificity,0.5144241516,0.5674993426
fnr,0,0.0495049505
fpr,0.4855758484,0.4325006574
ppv,0.005466909042,0.00580270793
npv,1,0.9997683791
f1_score,0.0108743689,0.01153499549
f2_score,0.0267495948,0.02832192589
balanced_accuracy,0.7572120758,0.7589971961
mcc,0.05303121765,0.05371956672
accuracy,0.5157167961,0.5685138077
predicted_positive_count,148530,16544
predicted_positive_rate,0.4869452896,0.433872702
tp_per_1000_lesions,2.662085606,2.517636569
fp_per_1000_lesions,484.2832039,431.3550654
fn_per_1000_lesions,0,0.1311269046
