metric,train,validation
total_lesions,811,101
total_patients,504,64
positive_lesions,304,38
negative_lesions,507,63
patients_with_positive_lesion,201,22
lesion_prevalence,0.3748458693,0.3762376238
patient_prevalence,0.3988095238,0.34375
pr_auc,0.635437313,0.5823326925
roc_auc,0.7471225215,0.7458228906
brier_score,0.2121996532,0.2151224228
selected_threshold,0.3777420722,0.3777420722
tp,277,37
tn,180,18
fp,327,45
fn,27,1
sensitivity,0.9111842105,0.9736842105
specificity,0.3550295858,0.2857142857
fnr,0.08881578947,0.02631578947
fpr,0.6449704142,0.7142857143
ppv,0.4586092715,0.4512195122
npv,0.8695652174,0.9473684211
f1_score,0.6101321586,0.6166666667
f2_score,0.760989011,0.7905982906
balanced_accuracy,0.6331068982,0.6296992481
mcc,0.2955749931,0.321547991
accuracy,0.5635018496,0.5445544554
predicted_positive_count,604,82
predicted_positive_rate,0.7447595561,0.8118811881
tp_per_1000_lesions,341.5536375,366.3366337
fp_per_1000_lesions,403.2059186,445.5445545
fn_per_1000_lesions,33.29223181,9.900990099
