metric,train,validation
total_lesions,305024,38131
total_patients,784,94
positive_lesions,812,101
negative_lesions,304212,38030
patients_with_positive_lesion,497,68
lesion_prevalence,0.002662085606,0.002648763473
patient_prevalence,0.6339285714,0.7234042553
pr_auc,0.3961919045,0.04219258081
roc_auc,0.972574095,0.8512151688
brier_score,0.002214430686,0.002598069218
selected_threshold,0.0006225208635,0.0006225208635
tp,812,96
tn,103155,14336
fp,201057,23694
fn,0,5
sensitivity,1,0.9504950495
specificity,0.3390891878,0.3769655535
fnr,0,0.0495049505
fpr,0.6609108122,0.6230344465
ppv,0.004022410573,0.004035308953
npv,1,0.9996513493
f1_score,0.008012591215,0.0080364991
f2_score,0.01979358122,0.01983962966
balanced_accuracy,0.6695445939,0.6637303015
mcc,0.03693177405,0.03474529217
accuracy,0.340848589,0.3784846975
predicted_positive_count,201869,23790
predicted_positive_rate,0.6618134966,0.6239018122
tp_per_1000_lesions,2.662085606,2.517636569
fp_per_1000_lesions,659.151411,621.3841756
fn_per_1000_lesions,0,0.1311269046
