metric,train,validation
total_lesions,305024,38131
total_patients,784,94
positive_lesions,812,101
negative_lesions,304212,38030
patients_with_positive_lesion,497,68
lesion_prevalence,0.002662085606,0.002648763473
patient_prevalence,0.6339285714,0.7234042553
pr_auc,0.02418175768,0.02526019246
roc_auc,0.831636745,0.8316558319
brier_score,0.133749628,0.1331828705
selected_threshold,0.1506919563,0.1506919563
tp,786,96
tn,76348,9265
fp,227864,28765
fn,26,5
sensitivity,0.9679802956,0.9504950495
specificity,0.2509697185,0.2436234552
fnr,0.03201970443,0.0495049505
fpr,0.7490302815,0.7563765448
ppv,0.003437568336,0.00332628807
npv,0.99965957,0.9994606257
f1_score,0.006850807541,0.006629376424
f2_score,0.01694710606,0.01640184521
balanced_accuracy,0.609475007,0.5970592523
mcc,0.02604070822,0.02325922459
accuracy,0.252878462,0.2454957908
predicted_positive_count,228650,28861
predicted_positive_rate,0.7496131452,0.7568907188
tp_per_1000_lesions,2.576846412,2.517636569
fp_per_1000_lesions,747.0362988,754.3730823
fn_per_1000_lesions,0.08523919429,0.1311269046
