stage,stage_epoch,total_epoch,train_loss,pr_auc,roc_auc,brier_score
warmup,1,1,1.1898316197850347,0.024945767187898177,0.76169072218996,0.19525843722059028
warmup,2,2,1.0751245408925871,0.02686477341970548,0.7679877040585883,0.10512628402106226
fine_tune,1,3,1.1506038935272869,0.01985095728967035,0.8153787988772746,0.2246313431098193
fine_tune,2,4,0.9106866027331506,0.021745594804320395,0.8339264542198994,0.10381198631881713
fine_tune,3,5,0.8626185226332137,0.022926004371537016,0.8030429833688217,0.1958902234331089
