stage,stage_epoch,total_epoch,train_loss,pr_auc,roc_auc,brier_score
warmup,1,1,1.1423327564890293,0.03619678394384404,0.8536978842705129,0.17706269025802612
warmup,2,2,1.0493039840108576,0.03292308088939856,0.8646302064686803,0.18034788966178894
fine_tune,1,3,0.9971170453583253,0.05850713779841976,0.9166727152247977,0.18266579508781433
fine_tune,2,4,0.844720112579825,0.05651052495232582,0.9242645999687822,0.15261097252368927
fine_tune,3,5,0.7533320319656466,0.09431663599884835,0.9192616001902055,0.08595095574855804
fine_tune,4,6,0.7131735153766785,0.08281390820472848,0.9162518172471801,0.06432919949293137
fine_tune,5,7,0.6697605083862412,0.07681572278451562,0.9210911741787716,0.09800716489553452
fine_tune,6,8,0.5825978665207852,0.06973056251589736,0.9121257818335615,0.1191924586892128
