metric,train,validation
total_lesions,305024,38131
total_patients,784,94
positive_lesions,812,101
negative_lesions,304212,38030
patients_with_positive_lesion,497,68
lesion_prevalence,0.002662085606,0.002648763473
patient_prevalence,0.6339285714,0.7234042553
pr_auc,0.1204764716,0.05317113819
roc_auc,0.9415284326,0.906433691
brier_score,0.1151065689,0.1100008236
selected_threshold,0.06386636198,0.06386636198
tp,808,96
tn,135460,18863
fp,168752,19167
fn,4,5
sensitivity,0.9950738916,0.9504950495
specificity,0.44528158,0.4960031554
fnr,0.004926108374,0.0495049505
fpr,0.55471842,0.5039968446
ppv,0.004765274829,0.004983647407
npv,0.9999704719,0.9997350011
f1_score,0.009485126664,0.009915306755
f2_score,0.02337854729,0.02440636599
balanced_accuracy,0.7201777358,0.7232491025
mcc,0.04566631107,0.04590063257
accuracy,0.4467451742,0.4972069969
predicted_positive_count,169560,19263
predicted_positive_rate,0.555890684,0.5051795127
tp_per_1000_lesions,2.648971884,2.517636569
fp_per_1000_lesions,553.2417121,502.6618762
fn_per_1000_lesions,0.0131137222,0.1311269046
