metric,train,validation
total_lesions,811,101
total_patients,504,64
positive_lesions,304,38
negative_lesions,507,63
patients_with_positive_lesion,201,22
lesion_prevalence,0.3748458693,0.3762376238
patient_prevalence,0.3988095238,0.34375
pr_auc,1,0.550469544
roc_auc,1,0.7117794486
brier_score,0.01981695636,0.2163075256
selected_threshold,0.0624396503,0.0624396503
tp,304,37
tn,87,4
fp,420,59
fn,0,1
sensitivity,1,0.9736842105
specificity,0.1715976331,0.06349206349
fnr,0,0.02631578947
fpr,0.8284023669,0.9365079365
ppv,0.4198895028,0.3854166667
npv,1,0.8
f1_score,0.5914396887,0.552238806
f2_score,0.7835051546,0.7459677419
balanced_accuracy,0.5857988166,0.518588137
mcc,0.2684251196,0.08302469998
accuracy,0.4821208385,0.4059405941
predicted_positive_count,724,96
predicted_positive_rate,0.8927250308,0.9504950495
tp_per_1000_lesions,374.8458693,366.3366337
fp_per_1000_lesions,517.8791615,584.1584158
fn_per_1000_lesions,0,9.900990099
