stage,stage_epoch,total_epoch,train_loss,pr_auc,roc_auc,brier_score
warmup,1,1,1.2732346870637157,0.025401845372967958,0.8522876259363398,0.2411273717880249
warmup,2,2,1.1918003871962435,0.03358396099567778,0.8706035276824386,0.2799448072910309
fine_tune,1,3,1.0387503549032804,0.043733826033521286,0.8858169019275046,0.22632543742656708
fine_tune,2,4,0.8647188384692578,0.055741193316723586,0.9022587715067076,0.18077132105827332
fine_tune,3,5,0.7874083390998777,0.048581498945316694,0.8862492845091681,0.1570555418729782
fine_tune,4,6,0.7547671727983299,0.03698083514769393,0.8825892688063964,0.12659072875976562
fine_tune,5,7,0.7232183877918215,0.0664377707490796,0.9020276502306159,0.12835827469825745
fine_tune,6,8,0.6624132205742166,0.05045202149530551,0.8956088284652393,0.1361950784921646
fine_tune,7,9,0.6479764146259032,0.07028260575199086,0.898481612842666,0.08149798214435577
fine_tune,8,10,0.5977319955825806,0.07591650484835166,0.9050514188692351,0.10332322120666504
fine_tune,9,11,0.5832884566469883,0.038983961962203016,0.9045350710713237,0.13324697315692902
fine_tune,10,12,0.5541644214792395,0.07927501418383062,0.9151025401596186,0.10479733347892761
fine_tune,11,13,0.5574979759075536,0.019964488477947965,0.8876834308197566,0.12043684720993042
fine_tune,12,14,0.49817465231580993,0.06249391652079604,0.8987929732190262,0.10271960496902466
