stage,stage_epoch,total_epoch,train_loss
warmup,1,1,1.2939271895907447
warmup,2,2,1.1767390735175396
fine_tune,1,3,1.0133510867662907
fine_tune,2,4,0.8259678806920437
fine_tune,3,5,0.7857875199163855
fine_tune,4,6,0.7384869972172776
fine_tune,5,7,0.7345844674050382
fine_tune,6,8,0.6250976948829644
fine_tune,7,9,0.6334609007052499
fine_tune,8,10,0.6157198829957031
fine_tune,9,11,0.5382480123715395
fine_tune,10,12,0.5665250035128672
