metric,train,validation
total_lesions,811,101
total_patients,504,64
positive_lesions,304,38
negative_lesions,507,63
patients_with_positive_lesion,201,22
lesion_prevalence,0.3748458693,0.3762376238
patient_prevalence,0.3988095238,0.34375
pr_auc,1,0.6363661091
roc_auc,1,0.7138680033
brier_score,0.0004158024571,0.2397620532
selected_threshold,0.01132459752,0.01132459752
tp,304,37
tn,225,7
fp,282,56
fn,0,1
sensitivity,1,0.9736842105
specificity,0.4437869822,0.1111111111
fnr,0,0.02631578947
fpr,0.5562130178,0.8888888889
ppv,0.5187713311,0.3978494624
npv,1,0.875
f1_score,0.6831460674,0.5648854962
f2_score,0.8435072142,0.7551020408
balanced_accuracy,0.7218934911,0.5423976608
mcc,0.4798165936,0.1521064033
accuracy,0.6522811344,0.4356435644
predicted_positive_count,586,93
predicted_positive_rate,0.7225647349,0.9207920792
tp_per_1000_lesions,374.8458693,366.3366337
fp_per_1000_lesions,347.7188656,554.4554455
fn_per_1000_lesions,0,9.900990099
