stage,stage_epoch,total_epoch,train_loss
warmup,1,1,0.9124910525711192
warmup,2,2,0.8330958943478717
fine_tune,1,3,0.8380705325435915
fine_tune,2,4,0.7685010213446235
fine_tune,3,5,0.7209921983402549
fine_tune,4,6,0.6907771670715436
fine_tune,5,7,0.6680372794665185
