metric,train,validation
total_lesions,811,101
total_patients,504,64
positive_lesions,304,38
negative_lesions,507,63
patients_with_positive_lesion,201,22
lesion_prevalence,0.3748458693,0.3762376238
patient_prevalence,0.3988095238,0.34375
pr_auc,0.7506139375,0.5357818215
roc_auc,0.828467248,0.7084377611
brier_score,0.1680163645,0.220729081
selected_threshold,0.1666936874,0.1666936874
tp,300,37
tn,95,6
fp,412,57
fn,4,1
sensitivity,0.9868421053,0.9736842105
specificity,0.1873767258,0.09523809524
fnr,0.01315789474,0.02631578947
fpr,0.8126232742,0.9047619048
ppv,0.4213483146,0.3936170213
npv,0.9595959596,0.8571428571
f1_score,0.5905511811,0.5606060606
f2_score,0.7780082988,0.7520325203
balanced_accuracy,0.5871094156,0.5344611529
mcc,0.2576192271,0.1314646303
accuracy,0.487053021,0.4257425743
predicted_positive_count,712,94
predicted_positive_rate,0.8779284834,0.9306930693
tp_per_1000_lesions,369.9136868,366.3366337
fp_per_1000_lesions,508.0147965,564.3564356
fn_per_1000_lesions,4.932182491,9.900990099
