metric,train,validation
total_lesions,811,101
total_patients,504,64
positive_lesions,304,38
negative_lesions,507,63
patients_with_positive_lesion,201,22
lesion_prevalence,0.3748458693,0.3762376238
patient_prevalence,0.3988095238,0.34375
pr_auc,0.7027370358,0.5913403817
roc_auc,0.8050613776,0.7397660819
brier_score,0.1875818563,0.2077772876
selected_threshold,0.2836808801,0.2836808801
tp,298,37
tn,149,19
fp,358,44
fn,6,1
sensitivity,0.9802631579,0.9736842105
specificity,0.2938856016,0.3015873016
fnr,0.01973684211,0.02631578947
fpr,0.7061143984,0.6984126984
ppv,0.4542682927,0.4567901235
npv,0.9612903226,0.95
f1_score,0.6208333333,0.6218487395
f2_score,0.7959401709,0.7939914163
balanced_accuracy,0.6370743797,0.6376357561
mcc,0.3375275972,0.3346307404
accuracy,0.5511713933,0.5544554455
predicted_positive_count,656,81
predicted_positive_rate,0.8088779285,0.801980198
tp_per_1000_lesions,367.4475956,366.3366337
fp_per_1000_lesions,441.4303329,435.6435644
fn_per_1000_lesions,7.398273736,9.900990099
